
idpk,CIK,year,assets,CurrentAssets,NoncurrentAssets,liabilities,CurrentLiabilities,NoncurrentLiabilities,LiabilitiesAndStockholdersEquity,equity,CommonStockValue,RetainedEarningsAccumulatedDeficit,AccumulatedOtherComprehensiveIncomeLoss,MinorityInterest,revenues,SalesRevenueNet,CostOfGoodsSold,GrossProfit,OperatingExpenses,SellingGeneralAndAdministrativeExpense,ResearchAndDevelopmentExpense,OperatingIncomeLoss,InterestExpense,IncomeBeforeIncomeTaxes,IncomeTaxExpenseBenefit,NetIncomeLoss,PreferredStockDividendsAndOtherAdjustments,NetIncomeLossAvailableToCommonStockholdersBasic,EarningsPerShareBasic,EarningsPerShareDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfDilutedSharesOutstanding,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInFinancingActivities,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsAtCarryingValue,PaymentsToAcquirePropertyPlantAndEquipment,ProceedsFromIssuanceOfCommonStock,PaymentsOfDividends,RepaymentsOfDebt,ProceedsFromIssuanceOfDebt,DepreciationAndAmortization,InventoryNet,AccountsReceivableNetCurrent,AccountsPayableCurrent,Goodwill,IntangibleAssetsNetExcludingGoodwill,PropertyPlantAndEquipmentNet,LongTermDebtNoncurrent,ShortTermBorrowings,IncomeTaxesPayableCurrent,EntityRegistrantName,EntityCentralIndexKey,TradingSymbol,EntityIncorporationStateCountryCode,EntityFilerCategory,DocumentPeriodEndDate,DocumentFiscalPeriodFocus,DocumentFiscalYearFocus,DocumentType,AmendmentFlag,CurrentFiscalYearEndDate,TL_TA,Debt_Assets,EBIT_InterestExpense,EBITDA_InterestExpense,CFO_Liabilities,CFO_DebtService,CurrentRatio,QuickRatio,WC_TA,ROA,OperatingMargin,DaysAR,DaysINV,DaysAP,CashConversionCycle,Accruals,DividendOmission,DebtIssuanceSpike,DebtRepaymentSpike,AltmanZPrime,AltmanZDoublePrime,OhlsonOScore,OhlsonOScoreProb,ZmijewskiXScore,SpringateSScore,TafflerZScore,FulmerHScore,GroverGScore,BeneishMScore,PiotroskiFScore,AIExpectedLikelihoodOfBankruptcyBase,AIExpectedLikelihoodOfBankruptcyExtended,AIExpectedLikelihoodOfBankruptcyBaseStrongerModelGPT,AIExpectedLikelihoodOfBankruptcyBaseStrongerModelGPTExplanation,AIExpectedLikelihoodOfBankruptcyBaseStrongerModelGROK,AIExpectedLikelihoodOfBankruptcyBaseStrongerModelGROKExplanation,AIExpectedLikelihoodOfBankruptcyExtendedStrongerModelGPT,AIExpectedLikelihoodOfBankruptcyExtendedStrongerModelGPTExplanation,AIExpectedLikelihoodOfBankruptcyExtendedStrongerModelGROK,AIExpectedLikelihoodOfBankruptcyExtendedStrongerModelGROKExplanation
5148,1455684,2024,804080000,503075000.0,,926384000.0,386421000.0,,804080000.0,121952000.0,470000.0,-536348000.0,,,,,,55541000.0,,,,13405000.0,2528000.0,,32137000.0,-65305000.0,,-124208000.0,-2.96,-2.96,41959000.0,41959000.0,-62272000.0,-18832000.0,-14597000.0,,216236000.0,18832000.0,0.0,,,0.0,35788000.0,9420000.0,138029000.0,,2807000.0,2442000.0,128808000.0,,,,,,,,,,,,,,,1.152104268232,0.0,5.3026107594937,19.459256329114,-0.067220504671929,-24.632911392405,1.3018831792268,1.2775056221065,0.14507760421849,-0.081217043080291,,,,,,-0.0034343832377639,0,0,0,-0.3538688441723,-0.9725630945368,-4.2703205180891,0.013784630507174,2.6376785555007,0.20061059844792,-32.29146348171,,0.35442637548503,-4.6127649218711,2,18.0,50.0,94,liabilities>assets; adequate liquidity; net loss,70,Net loss and negative operating cash flow despite positive equity,56,"low Altman Z, Zmijewski>0, low F-score 2",70,Liabilities exceed assets and negative cash flows
5269,1136893,2024,55105000000,13788000000.0,,36006000000.0,18318000000.0,,55105000000.0,19093000000.0,6000000.0,-22864000000.0,,6000000.0,,,,3461000000.0,,2182000000.0,,1176000000.0,,,314000000.0,-16752000000.0,,,-27.74,-27.74,604000000.0,604000000.0,,,,,440000000.0,227000000.0,,1138000000.0,,,,,1738000000.0,,16816000000.0,1823000000.0,695000000.0,12970000000.0,4760000000.0,,,,,,,,,,,,,0.65340713183922,0.32174938753289,,,0.0,,0.75270226007206,0.75270226007206,-0.08220669630705,-0.30400145177389,,,,,,-0.28301360837282,0,0,0,-0.12135560939765,-1.1917068712393,-5.1350569681294,0.0058522655145892,0.79543799350631,-0.019155793485165,0.60709563788789,,-0.0011320025406043,-6.2685351838675,2,60.0,45.0,90,moderate leverage TL/TA 0.65; low current ratio 0.75; thin cash/CL 0.75; negative ROA -30.4%; net loss,72,moderate leverage TL/TA 0.65; low current ratio 0.75; thin cash/CL 0.75; negative ROA -30.4%; net loss,95,moderate leverage TL/TA 0.65; low current ratio 0.75; thin cash/CL 0.75; negative ROA -30.4%; net loss,71,moderate leverage TL/TA 0.65; low current ratio 0.75; thin cash/CL 0.75; negative ROA -30.4%; net loss
3641,320017,2024,54694000,53924000.0,,6800000.0,6590000.0,,54694000.0,48148000.0,8000.0,-528081000.0,,-254000.0,,,,,6844000.0,3665000.0,,-6844000.0,,,0.0,-6187000.0,,,-0.77,-0.77,7987000.0,7987000.0,-8196000.0,4289000.0,-85000.0,,22593000.0,,297000.0,,,,48000.0,,0.0,2421000.0,,400000.0,175000.0,,,,,,,,,,,,,,,0.12432807986251,0.0,,,-1.2052941176471,,8.1827010622155,8.1827010622155,0.86543313708999,-0.11312026913373,,,,,,0.031457472128273,0,0,0,-4.9723707530023,-19.204953421066,-6.7469223354505,0.0011731109408836,-3.0495579294331,0.50723918528541,-10416.394942567,,1.0608233809924,-4.7342284554738,0,60.0,70.0,10,operating loss; net loss; neg. operating cash flow,60,"negative net income, negative operating cash, large accumulated losses",32,low Altman Z (< -10,40,Negative ROA and cash flows but strong liquidity and low Ohlson probability
9097,1652044,2024,402392000000,171530000000.0,,119013000000.0,81814000000.0,,402392000000.0,251635000000.0,,211247000000.0,,,,,,,,,39500000000.0,74842000000.0,80000000.0,,11356000000.0,59972000000.0,,59972000000.0,4.59,4.56,13063000000.0,13159000000.0,91495000000.0,-20298000000.0,-69757000000.0,,24048000000.0,31485000000.0,,0.0,,,,,47964000000.0,7493000000.0,28960000000.0,,134345000000.0,11870000000.0,,,,,,,,,,,,,,0.29576383228295,0.029498598381678,935.525,935.525,0.76878156167814,1143.6875,2.0965849365634,2.0965849365634,0.22295671882145,0.14903874828525,,,,,,-0.082127932303011,0,0,0,2.0704224777727,6.6439624462956,-11.908441782689,6.7332776235555e-06,-3.2764341835246,0.80064320364222,4.6317292663611,48.811429901244,1.055613332273,-5.2046907925289,3,2.0,1.0,6,low leverage; equity cushion; ample liquidity,5,"Strong positive net income, robust operating cash flow, and substantial positive equity",24,"low F-score 3, Zmijewski<0, current ratio>1.5",5,Strong profitability and liquidity indicate very low risk
6457,1840502,2024,1707802000,559412000.0,1148390000.0,,423965000.0,226775000.0,1707802000.0,767571000.0,0.0,-150460000.0,,,,,,464253000.0,477918000.0,,129276000.0,-13665000.0,,,7523000.0,-11975000.0,,-11975000.0,-0.05,-0.05,333424276.0,333424276.0,53484000.0,-139561000.0,-62873000.0,,176108000.0,34914000.0,,,,,91221000.0,,306307000.0,,555931000.0,125258000.0,72155000.0,,,,,,,,,,,,,,,0.0,0.0,,,,,1.3194768436074,1.3194768436074,0.07931071634768,-0.0070119369809849,,,,,,-0.04043892908716,0,0,0,-0.042616928660348,0.17929708479086,,,-4.2631683762111,0.057125392756303,-15.168176664031,,0.16073772252287,-4.8184201637276,3,30.0,50.0,50,low leverage TL/TA 0.00; adequate current ratio 1.32; negative ROA -0.7%; net loss,40,low leverage TL/TA 0.00; adequate current ratio 1.32; negative ROA -0.7%; net loss,55,low leverage TL/TA 0.00; adequate current ratio 1.32; negative ROA -0.7%; net loss,41,low leverage TL/TA 0.00; adequate current ratio 1.32; negative ROA -0.7%; net loss
660,1551182,2024,35014000000,11675000000.0,,,7747000000.0,11616000000.0,38432000000.0,19036000000.0,,10305000000.0,,33000000.0,,,,,,3227000000.0,665000000.0,,,,445000000.0,2462000000.0,,,6.17,6.14,398700000.0,400800000.0,2533000000.0,-1200000000.0,-1340000000.0,,488000000.0,598000000.0,,1299000000.0,2012000000.0,1995000000.0,,3739000000.0,,3365000000.0,14796000000.0,5485000000.0,3146000000.0,,8000000.0,,,,,,,,,,,,,0.0,0.0002284800365568,,,,1.2589463220676,1.5070349812831,1.0243965405964,0.11218369794939,0.070314731250357,,,,,,-0.0020567488883417,0,0,0,0.58767235962758,2.2532992517279,,,-4.6103881507015,0.37043268406923,0.83700348432056,,0.52359153481465,-4.8797284271608,6,35.0,30.0,35,low leverage TL/TA 0.00; adequate current ratio 1.51; positive ROA 7.0%; net profit,28,low leverage TL/TA 0.00; adequate current ratio 1.51; positive ROA 7.0%; net profit,40,low leverage TL/TA 0.00; adequate current ratio 1.51; positive ROA 7.0%; net profit,30,low leverage TL/TA 0.00; adequate current ratio 1.51; positive ROA 7.0%; net profit
3388,94049,2024,2433172000,851883000.0,,,607870000.0,,2363354000.0,1166065000.0,27006000.0,1257466000.0,,,,,,427069000.0,218447000.0,,40902000.0,207336000.0,,,41550000.0,147153000.0,,,6.46,6.38,22781000.0,23064000.0,160763000.0,-308090000.0,166209000.0,,129823000.0,301553000.0,,30573000.0,,,,265558000.0,,233031000.0,95922000.0,52571000.0,1206665000.0,401248000.0,,,,,,,,,,,,,,0.0,0.16490737194082,,,,,1.4014230016286,0.9645565663711,0.1002859641653,0.060477845380433,,,,,,-0.006050523874896,0,0,0,0.77438996297837,2.9152737085582,,,-4.5665446122054,0.36489607393148,0.53185668748449,,0.5115666093478,-7.562972149284,5,5.0,88.0,31,IC 10.0; ROA 6.0%; strong CFO,10,"Positive equity, net income, and cash flows",40,low leverage TL/TA 0.00; adequate current ratio 1.40; thin cash/CL 0.96; positive ROA 6.0%; net profit,15,Positive profitability and adequate liquidity suggest low risk
4433,1376231,2024,3191246,3042974.0,,2576936.0,2083630.0,,3191246.0,,8065481.0,-7485894.0,,,3081021.0,,,523673.0,404665.0,404665.0,,119008.0,76085.0,,879803.0,25314.0,,25314.0,0.0,0.0,88804035.0,88804035.0,281528.0,-30000.0,-200531.0,,1767260.0,,,,,,,563503.0,337774.0,,,29833.0,,,,,,,,,,,,,,,,0.80750152134934,0.0,1.5641453637379,1.5641453637379,0.10924912376559,3.700177433134,1.4604195562552,1.1899766273283,0.30061737641034,0.0079323248662121,,,,,,-0.10622968654833,0,0,0,-1.6554489105509,-5.4245219704153,-3.4817907445719,0.02983480359746,0.27290488801831,0.42412238981263,-0.82106701052843,,0.67983377965848,-5.1043462287429,5,16.0,50.0,32,high leverage TL/TA 0.81; net profit,25,"Small positive net income, cash flow, and adequate liquidity",65,Low Ohlson 3%; Z'=-1.66; X=0.27,45,"small positive ROA, high leverage, distress Altman, low Ohlson prob"
7469,1070680,2024,2058615000,,,1903241000.0,,,2058615000.0,125330000.0,,76517000.0,,,,,,,,,,,11443000.0,,4428000.0,18164000.0,,18164000.0,2.84,2.78,6397053.0,6535160.0,39764000.0,-353321000.0,298753000.0,,261595000.0,905000.0,22500000.0,,,,,,,,,,3812000.0,,,,,,,,,,,,,,,0.92452498403053,0.0,2.974307436861,2.974307436861,0.020892782364398,3.47496285939,,,0.0,0.0088234079708931,,,,,,-0.011137496780567,0,0,0,0.11050753875647,0.30141634168743,,,0.93008707310498,0.050756188019615,3.2,,0.11313702222125,-4.4850037249935,4,,4.0,32,high leverage TL/TA 0.92; net profit,15,Positive net income and cash flow from operations,69,Z'=0.11; X=0.93; Z''=0.30,50,"high leverage, low interest coverage, small positive ROA, distress Altman"
1364,1889112,2024,174582232,330034.0,,18869986.0,1530978.0,,174582232.0,-18038139.0,,-18540527.0,,,,,,,,,,-239315.0,,,,3710757.0,,,,,,,-121886.0,77136562.0,-70000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10808652051143,0.0,,,-0.0064592522750149,,0.21557070055873,0.21557070055873,-0.0068789589080291,0.021255066781366,,,,,,0.018462625786156,0,0,0,-0.50062724201004,-1.4042604486251,-8.9624899049872,0.0001281104182136,-3.7786923507987,-0.011293642814694,3.1500677452651,,0.040643478839244,-7.4842646485338,3,85.0,85.0,45,"negative equity, CR 0.22<1, neg. operating cash flow",90,"Negative equity, losses, and negative cash flow",60,low leverage TL/TA 0.11; low current ratio 0.22; thin cash/CL 0.22; positive ROA 2.1%; net profit,50,Losses and low liquidity pose moderate risk
6050,1627475,2024,1037541000,883371000.0,,656466000.0,293003000.0,,1037541000.0,259517000.0,14000.0,-294062000.0,,,,,,457916000.0,550540000.0,,154553000.0,-92624000.0,,,536000.0,-89885000.0,,-89885000.0,-0.69,-0.69,130517920.0,130517920.0,11497000.0,-69468000.0,1143000.0,,129384000.0,1248000.0,,,,,,,103061000.0,5063000.0,118219000.0,,27140000.0,356087000.0,,,,,,,,,,,,,,0.6327133096427,0.34320282282821,,,0.017513473660479,,3.0148872195848,3.0148872195848,0.5690069115341,-0.086632721020181,,,,,,-0.095743384836806,0,0,0,0.056585687201492,2.6239080395009,-5.8818313928557,0.0027819109911343,-0.29162734156744,0.31201018562158,3.5480689491904,,0.69336354033238,-5.1495564283766,3,13.0,2.0,17,operating loss; net loss; accum. deficit,30,"small net loss, positive equity and operating cash",38,low Altman Z (0.06,40,Negative ROA but good liquidity and low Ohlson probability
5720,731012,2024,790652000,571696000.0,,,216928000.0,,790652000.0,445171000.0,763000.0,185010000.0,,,,,,,,140344000.0,,,,,10310000.0,34243000.0,,,0.46,0.46,74336000.0,74351000.0,-8167000.0,2580000.0,-38928000.0,,26279000.0,5210000.0,106000.0,,,,,,344864000.0,83224000.0,75529000.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,2.6354182032748,2.6354182032748,0.44870309567294,0.043309825308733,,,,,,0.054006867697182,0,0,0,0.69499387467558,4.0849916777546,,,-4.4843525410762,0.63515775587743,0.26977147974077,,0.98848151652054,-4.659082847672,2,30.0,5.0,30,low leverage TL/TA 0.00; healthy current ratio 2.64; ample cash/CL 2.64; positive ROA 4.3%; net profit,24,low leverage TL/TA 0.00; healthy current ratio 2.64; ample cash/CL 2.64; positive ROA 4.3%; net profit,35,low leverage TL/TA 0.00; healthy current ratio 2.64; ample cash/CL 2.64; positive ROA 4.3%; net profit,26,low leverage TL/TA 0.00; healthy current ratio 2.64; ample cash/CL 2.64; positive ROA 4.3%; net profit
297,916789,2024,2913715000,892041000.0,,1424904000.0,412158000.0,,2913715000.0,1239347000.0,2399000.0,1164188000.0,,,,,,953187000.0,,680257000.0,54000000.0,272550000.0,12844000.0,,36202000.0,223764000.0,,,9.27,9.17,24142000.0,24410000.0,140823000.0,-438914000.0,286352000.0,,29073000.0,,,,,,,455485000.0,377604000.0,190598000.0,1066479000.0,553883000.0,351793000.0,928348000.0,,,,,,,,,,,,,,0.48903341610281,0.31861317939469,21.220024914357,21.220024914357,0.098829815903387,10.964107754594,2.1643180527856,1.059195745321,0.16469798865023,0.076796804080015,,,,,,0.028913578585664,0,0,0,1.1124469197399,3.9248224549673,-7.8777677896453,0.0003789346496517,-1.8494378743629,0.45680788615221,3.2543559490698,9.3187867572434,0.6459343762173,-4.5815954320061,4,9.0,14.0,40,moderate leverage TL/TA 0.49; healthy current ratio 2.16; positive ROA 7.7%; net profit,32,moderate leverage TL/TA 0.49; healthy current ratio 2.16; positive ROA 7.7%; net profit,45,moderate leverage TL/TA 0.49; healthy current ratio 2.16; positive ROA 7.7%; net profit,34,moderate leverage TL/TA 0.49; healthy current ratio 2.16; positive ROA 7.7%; net profit
1122,1746473,2024,512154000,505502000.0,,38578000.0,28524000.0,,512154000.0,199059000.0,6000.0,-499748000.0,,,,,,,136885000.0,,96936000.0,-127200000.0,311000.0,,0.0,-123321000.0,,,-2.94,-2.94,42015908.0,42015908.0,-94631000.0,-150204000.0,226854000.0,,63234000.0,1760000.0,,,,9850000.0,,,,4531000.0,,,3567000.0,,,,,,,,,,,,,,,0.075324999902373,0.0,-409.00321543408,-409.00321543408,-2.4529783814609,-304.27974276527,17.721988500912,17.721988500912,0.93131753339816,-0.24078890333767,,,,,,-0.06650694799407,0,0,0,1.2367706097846,6.677317881358,-3.5882200247406,0.026903679087018,-2.7162094815333,0.1967832722189,35.363623547767,,0.7520995911386,-5.2224312381689,3,90.0,88.0,23,operating loss; net loss; neg. operating cash flow,70,"negative net income, negative cash flows, accumulated losses",35,low Altman Z (1.24,30,Negative ROA but excellent liquidity and low Ohlson probability
8657,1806201,2024,374037000,289876000.0,,168457000.0,20590000.0,,374037000.0,158982000.0,1282000.0,-193749000.0,,,,,,159626000.0,62011000.0,,8205000.0,97615000.0,2387000.0,,26920000.0,66620000.0,,66620000.0,0.53,0.53,126108329.0,126261614.0,107431000.0,-624000.0,-17797000.0,,240206000.0,238000.0,,,,,,,4616000.0,375000.0,,,3913000.0,139357000.0,,,,,,,,,,,,,,0.45037523025797,0.37257544039761,40.894428152493,40.894428152493,0.63773544584078,45.006702974445,14.078484701311,14.078484701311,0.71994481829338,0.17811072166657,,,,,,-0.10829967571928,0,0,0,1.2846911896216,5.7788832554833,-8.6137053948684,0.0001815667908761,-2.4780454962239,1.542742108401,6.9140157216144,5.7694309122775,2.1304243938434,-5.3431886914269,5,88.0,55.0,11,moderate leverage; equity cushion; ample liquidity,15,"positive net income, positive equity",20,low Altman Z (1.28,10,"Strong positive ROA, excellent liquidity, and very low Ohlson probability"
8943,1300514,2024,22039000000,5777000000.0,,17674000000.0,4422000000.0,,21778000000.0,4118000000.0,1000000.0,2600000000.0,,-14000000.0,4110000000.0,,,,,936000000.0,143000000.0,-792000000.0,702000000.0,,154000000.0,1832000000.0,,,2.4,2.4,764000000.0,764000000.0,441000000.0,-182000000.0,-36000000.0,,5105000000.0,651000000.0,,0.0,,,1036000000.0,38000000.0,484000000.0,167000000.0,103000000.0,,11439000000.0,,,,,,,,,,,,,,,0.80194201188802,0.0,-1.1282051282051,0.34757834757835,0.024951906755686,0.62820512820513,1.3064224332881,1.297829036635,0.061481918417351,0.08312536866464,,,,,,0.063115386360543,0,0,0,0.13021033365384,0.79106794130826,-7.2223740104647,0.0007295345636047,-0.097769001496032,-0.04699804891329,-11.581748447056,,0.034788012160261,-4.2929712164732,4,34.0,,42,IC<1,15,"Positive equity, net income, and operating cash flow",49,"high leverage TL/TA 0.80, EBIT cov -1.1x, EBITDA cov 0.3x",40,Low interest coverage and low Altman scores indicate moderate risk despite positive net income
